title,country,rating,listed_in,description
Queen of No Marriage,Taiwan,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",Sparks begin to fly when a successful 33-year-old single woman and a 25-year-old romantic with few prospects navigate love and differences.
Falsa identidad,Mexico,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
Shiva: The Secret World Of Vedas City,,TV-Y,Children & Family Movies,"When the residents of Vedas are ordered to evacuate by a prince who claims the town as his own, young Shiva sets out to save the city and its citizens."
El club de los buenos infieles,Spain,TV-MA,"Comedies, International Movies",Four childhood buddies in passionless marriages try a counterintuitive idea: a secret club for men who want to cheat – to regain lust for their wives.
Schubert In Love,Germany,TV-14,"Comedies, International Movies","The last of his family line, Olaf Schubert doesn't have time for a girlfriend but dutifully searches for one when his father demands offspring."
Jeff Dunham's Very Special Christmas Special,United States,TV-MA,Stand-Up Comedy,"Politically incorrect, sometimes raunchy ventriloquist Jeff Dunham is joined by his irreverent cast of characters in this hilarious Christmas special."
"Fresh, Fried & Crispy",United States,TV-PG,Reality TV,"Passionate about food and ready for fun, critic Daym Drops drops in on America's smokin' hot spots for the best, freshest takes on fried food."
Ghost Patrol,Canada,TV-Y7,"Children & Family Movies, Comedies",Two kids and their pet dog (aka the Ghost Patrol) get a call about an old manor and soon find they are investigating their first real haunted house.
Chief of Staff,South Korea,TV-14,"International TV Shows, Korean TV Shows, TV Dramas","As a chief of staff in the National Assembly, Jang Tae-jun influences power behind the scenes while pursuing his own ambitions to rise to the top."
All of You,Philippines,TV-MA,"Comedies, Dramas, International Movies","Two strangers meet on a dating app and experience instant chemistry, but their relationship unravels as jarring differences catch up to them."
What's Up?,"Saudi Arabia, United Arab Emirates",TV-PG,"Comedies, Dramas, International Movies","Flirting with modernity, a young woman must keep her new romance a secret from her conservative brother, who plans to keep her in line with tradition."
The Last of the Schmucks,Egypt,TV-MA,"International TV Shows, TV Comedies","The year is 2041 and a dispute between a man and his wife has set the human race back. In this battle of the sexes, the primitive life isn't so simple."
Hum Aapke Hain Koun,India,TV-14,"Classic Movies, Dramas, International Movies","Although Nisha falls for Prem, she agrees to marry his older brother for the good of their families. But fate may have other plans for the lovebirds."
A Stoning in Fulham County,United States,TV-14,Dramas,"After reckless teens kill an Amish child, a prosecutor attempts to bring the youths to justice despite the condemnation he faces from the community."
The Breaker Upperers,New Zealand,TV-MA,"Comedies, Independent Movies, International Movies","For the right price, BFFs Jen and Mel will ruthlessly end any romance. But when one of them grows a conscience, their friendship begins to unravel."
La Mante,France,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","Decades after her capture, a serial killer offers to help solve a string of copycat murders – but only if her son, now a cop, will work by her side."
Suckseed,Thailand,TV-MA,"Comedies, International Movies, Music & Musicals","When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group."
History's Greatest Hoaxes,Australia,TV-PG,"British TV Shows, Docuseries","Using previously unseen footage, this documentary series offers new insights into some of the biggest scams and forgeries in human history."
Aaviri,India,TV-14,"Horror Movies, International Movies, Thrillers","After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit."
The Great Train Robbery,United Kingdom,NR,"British TV Shows, Crime TV Shows, International TV Shows","This two-part tale delivers the true story of the Great Train Robbery of 1963, the biggest one in England's history."
Laerte-se,Brazil,TV-MA,"Documentaries, International Movies, LGBTQ Movies","After living as a man for nearly 60 years, Laerte Coutinho, one of Brazil's most brilliant cartoonists, introduces herself to the world as a woman."
Quincy,United States,TV-MA,"Documentaries, Music & Musicals","This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career."
The Mess You Leave Behind,Spain,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",A teacher starts her job at a high school but is haunted by a suspicious death that occurred there weeks before... and begins fearing for her own life.
Life of Crime,United States,R,"Comedies, Independent Movies","After two small-time crooks kidnap and ransom a rich businessman's wife, they discover a flaw in their plan: Her cheating husband doesn't want her back."
Stone Age,South Korea,TV-Y7,"Kids' TV, Korean TV Shows","Woody sets out to become the Stone Age's best animal trainer with a little help from his faithful pet dinosaur, Moga."
Oversize Cops,Thailand,TV-MA,"Action & Adventure, Comedies, International Movies","While investigating a bank robbery, a squad of overweight police officers undergoes rigorous training to shed pounds."
Theeya Velai Seyyanum Kumaru,India,TV-PG,"Comedies, International Movies, Music & Musicals","When shy Kumar gets stuck on the losing end of a love triangle, the Love Doctor, Mokia, has a strategy for Kumar to win the love of his life."
Pac-Man and the Ghostly Adventures,"United States, Japan, Canada",TV-Y7,"Kids' TV, TV Comedies",Teenage Pac and his loyal crew face the ups and downs of adolescence while protecting Pac-World from a ghostly army led by the evil Betrayus.
Everything About Her,Philippines,TV-MA,"Comedies, Dramas, International Movies",A hard-driving real estate tycoon who becomes ill with cancer hires a medical caretaker who helps her begin to mend fences with her estranged son.
Chhota Bheem Kungfu Dhamaka,India,TV-Y7,Children & Family Movies,Chhota Bheem is in China for a martial arts competition but his real challenge: to save the emperor’s daughter from being kidnapped by the villain Zuhu!
Poseidon,United States,PG-13,"Action & Adventure, Dramas","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
Silicon Cowboys,United States,TV-PG,Documentaries,"This documentary tells the story of Compaq Computer and its three founders, who in 1982, took on Goliath IBM at the height of its PC dominance."
Message from the King,"United Kingdom, France, Belgium, United States",R,"Independent Movies, Thrillers","On a relentless quest to avenge his sister's murder, a man from Cape Town infiltrates a sprawling network of lowlifes and elites in Los Angeles."
Trailer Park Boys: Out of the Park: Europe,Canada,TV-MA,"International TV Shows, TV Comedies","The Trailer Park Boys are thrilled to get a free trip to Europe, until they arrive and learn about their corporate sponsor's unusual requirements."
Love Off the Cuff,"China, Hong Kong",TV-MA,"Comedies, Dramas, International Movies",Cherie and Jimmy's relationship is in a rut – until Cherie's estranged father shows up and a woman from Jimmy's past shows up with a hidden agenda.
American Anarchist,United States,TV-MA,Documentaries,"This documentary profiles William Powell, who wrote the ""The Anarchist Cookbook"" in the early 1970s and spent his later life regretting his actions."
Handsome Devil,Ireland,TV-MA,"Comedies, Dramas, International Movies","A self-described outsider is sent to a rugby-obsessed boarding school, where he forms an unexpected bond with the star player."
Collateral Beauty,United States,PG-13,Dramas,An advertising executive wrestling with grief finds meaning by writing letters to unconventional recipients as caring colleagues plot a ruse.
Mortified Nation,United States,TV-MA,Documentaries,"This comic documentary follows the Mortified movement, a series of stage events where adults share awkward childhood moments in front of strangers."
Despite Everything,Spain,TV-MA,"Comedies, International Movies, Romantic Movies","After their mother's death, four sisters learn a shocking family secret and embark on an adventure to discover the truth about their genealogy."
